Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
απόδοση παραγωγής	αρμοδιότητες	αποφεύγεται	απόλαυσε	αρμοδιότητα	απόκρυψη	αντανάκλαση	αμφισβητήθηκε	αρετή	ανοχή
αποδοτικότητα	αυθεντικό	αποφεύγονται	απόλαυση	αφρόκρεμα	αποτρέψει	αντιλογία	ανάδευση	γάμοι	απελευθέρωση
αποτελέσματα	αυτοπεποίθηση	αποφευχθεί	αποπλάνηση	βοήθεια	ασθένεια	αντιμετώπιση	ανακαλύπτω	γάμος	απελευθέρωσις
αποτελεσματικη	αφοσίωση	αρμοδιότητα	αστειεύεται	βραβείο	ασφάλεια	αντιπαραθέσεις	ανακαλύψεις	γενεαλογία	απληστία
αποτελεσματικοί	αφοσίωση	αρχές	αστείο	διαγωνισμός	ασφάλεια	αξιοπρέπεια	ανακαλύψεις	γενεές	απληστία
αποτελεσματικός	βασίζομαι	βεβαιότητα	αστείος	διακινώντας	ασφαλέστερα	από περιέργεια	ανακάλυψη	γενιές	άπληστος
απώλεια	βοήθεια	δεσμευμένος	γέλιο	διαμέτρημα	ασφαλίζοντας	απόφαση	ανακαλύψτε	γένος	αποδέχομαι
αρµοδιότητες	βοηθώ	διαδικασία	γεύση	διαμετρήματος	ασφάλιση	απόφαση	αναταραχές	γένος	αποδοχή
βελτιώσεις	γείτονες	διαπαιδαγώγηση	γοητεία	διαχείριση	ασφαλισμένος	αρχές	ανία	δεοντολογία	αποζημίωση
βελτίωση	γείτονες	διαταραχές	γοητεία	δυνάμεις	βία	ατομικός	αντίφαση	δέος	βαρυσήμαντος
βιομηχανία	γειτονιά	διατηρημένο	γοητευτικός	δύναμη	βία	ατομικότητα	ανυπομονησία	δέος	γαλήνη
γιορτάζω	γενναιοδωρία	διατήρηση	δελεάζω	δυνατός	διατήρηση	ατομικότητα	από περιέργεια	διαβάλλω	γαλήνια
γνώση	γιαγιά	διστάζω	δέλεαρ	δυνητικός	εγγύηση	αφοσίωση	απόπειρα	διάβολος	γενναιόδωρη
δεξιότητες	γιαγιά	δομή	διακοπές	δώρο	είναι καταστροφικό	βέβαιος	αποπειράθηκε	διεφθαρμένοι	δέξου το
δεξιότητες	γνωριμία	δραστηριότητες	διασκεδάζω	εγωιστής	εμπόδιο	γνώμη	αποπληξία	δικαιούμαι	δημοκρατία
δημοφιλής	γονείς	εγκεκριμένη άδεια	διασκεδαστικό	εγωιστικός	επιβίωσις	γνώση	απρόβλεπτο	εκκλησία	δημοκρατία
διακρίσεις	δόξασι ο Θεός	εθιμοτυπία	διασκεδαστικός	εισόδημα	επικίνδυνος	γνώση	απρόβλεπτος	εκκλησίες	δημοκρατικοί
δουλειά	δουλειά	ειλικρινά	δίψα	έλεγχος	επιμέλεια	γόνιμη	απροσδόκητα	ενδοιασμοί	διάκριση
έγκριση	δώρο	έκανα	δουλειά	έλεγχος	εφαρμο	δημιουργεί	άσκηση	εντολή	διαλογή
ειδικοί	εγγύτητα	εκχώρηση παραχώρησης	δυσάρεστο	ελίτ	εχθροί	δημιουργεί	αστάθεια	εξοικειωμένος	διερμηνεία
εκπαίδευση	ειλικρινής	έμπιστος	δυσάρεστος	εμπορικές συναλλαγές	ηρεμία	δημιουργία	ασταθές	ευλογημένος	διεύθυνση
εκτίμηση	ενδιαφέρομαι	εμπιστοσύνη	είναι αστείο	εμποριο	ησυχία	δημιουργία	ασταθής	ευλογία	δίκαιος
εκτίμησις	ενθαρρύνεται	ένταλμα	εκπλήρωση	εμπρός	ησυχία	δημιουργική	αυθόρμητα	ευλογίες	δικαιοσύνη
εμπειρία	ενθαρρυνθείτε	εντολές	έκσταση	ενισχυμένο	ιδιωτικός τομέας	δημιουργικός	αυθόρμητος	ευλογώ	δικαιοσύνη
εμπειρογνωμοσύνη	ενθάρρυνση	εντολή	εκτροπή	εντολή	καθαρή	δημιουργικότητα	βαρεμάρα	ηθικά	δικαιούμαι
εξειδίκευση	ενθαρρυντικό	εξουσιοδοτημένο	ελαφρότητα	εξαναγκασμός	καθαρό	διαδήλωση	βαριέμαι	ηθική	δικαιώματα
εξέλιξη	ενθαρρύνω	εξυπηρητήθηκε	ελεύθερος χρόνος	εξευτελισμός	καθαρός	διαίσθηση	βαριέστε	ηθική	δικαιώματα
επαγγελματίας	ενίσχυση	εξωφρενικό	έλξη	εξουσία	καμουφλάζ	διακριτικός	γενναίος	ηθική	ειλικρίνεια
επάρκεια	ενσυναίσθηση	επαναλαμβανόμενη	εορτασμοί	επηρρεάζων	καταστροφικός	διαλογισμός	γοητευτικός	ηθικός	ειρήνη
επαρκής	ένωσις	επαναληπτικό	επευφημώ	επιβολή	καταφύγιο	διαλογισμός	δειλός	θεέ	ειρηνικός
επιβράβευση	ευαίσθητος	επιβλητικό	επιείκεια	επιβολή	κηδεμόνας	διαμαρτυρία	δεν ξέρω τι να πω	θειότητα	έλεος
επιδεξιότητα	ευθύνες	επίσημα	επιθυμία	επίθεση	κίνδυνος	διαμάχη	διασκέδαση	θεολογία	ελευθερια
επιτεύξεις	ευχαριστώ	επίσημος	επιθυμία	επιθετική	κρίση	διανόηση	διασκεδαστικός	θεός	ελευθερία
επιτυγχάνοντας	ζεστασιά	επισήμως	ερωτικός	επιθετικός	με ασφάλεια	διάνοια	διαφορετικά	θρησκεία	ελευθερίες
επιτύχει	ήρεμα	επιτρέποντας	ερωτικός έρωτας	επικερδής	με προσοχή	διάσημη	διαφορετικός	θρησκεία	έννοια
επιτυχία	θεραπεία	επιχείρηση	ευαίσθητο	επικράτηση	μυστικότητα	διάσημος	διέγειρε	θρησκείες	ενότητα
επιτυχία	θλίψη	ευαίσθητος	εύθυμος	επικράτηση	νόσος	διατεθειμένος	διέγερση	θρησκείες	ενωμένος
επιτυχίες	καλή θέληση	ευγένεια	ευκολία	επιρροή	πανοπλία	διαφώτιση	διεγερτικός	θρησκευτικός	ένωση
επιτυχώς	καλοσύνη	ευγένεια	ευτυχία	επιχείρηση	πρόβλεψη	διδάγματα	δράμα	ίδρυμα	ένωσης
επιχείρηση	κοινοτικός	ευγενικός	ευτυχισμένοι	επόπτευση	πρόβλημα	διεκδιδώντας	δραματικός	ιεραπόστολος	εξήγηση
επιχείρηση	κοτέτσι	ευελιξία	ευφορία	έσοδα	προειδοποίησε	διευθύνοντας	δυναμική	ιερή	εξουσιοδοτημένος
εργασια	κρίμα	ευκαμψία	ευχάριστα	έσοδα	προειδοποίηση	διεύθυνση	δυναμική	ιεροτελεστία	επιχείρηση
εργασία	με συμπάθεια	ευλάβεια	ευχάριστη	ευαίσθητος	προειδοποιώ	διορατικότητα	δυναμικό	ιεροτελεστία	ερμηνεία
εργασία	μητέρα	ευπρέπεια	ευχαριστημένος	ευελιξία 	προληπτικά μέτρα	δραστηριότητα	δυναμικός	ιησούς	εταιρεία
ετοιμότητα	ξάδελφος	η συναίνεση	ευχαρίστηση	ευηµερία	πρόληψη	δραστηριότητες	είναι διασκεδαστικό	ισλάμ	ευαίσθητος
ευκολία	ξαδέρφη	ιατρική συνταγή	ευχαρίστως	ζήτηση	προνοητικότητα	δύναμη της θέλησης	είναι συναρπαστικό	ισλάμ	ευάλωτα
ήττα	ο σύζυγος	ιεραρχία	η απόλαυσις	η πιο πλούσια	προσοχή	δύσπιστος	εκπληκτική	ιστορικοί	ευάλωτα άτομα
ήττα	οικειότητα	καθήκοντα	η διασκέδαση	ηγεσία	προφυλάξεις	δωρεάν	έκτακτα	ιστορικός	ευπρέπεια
θέσεις εργασίας	οικογένεια	καθιέρωση	η μαγεία	θα μπορούσε	πτέρυγα	ειδικός	εμπειρίες	καθαρότητα	ευπρέπεια
ικανός	παππούδες	κανόνας	η σεξουαλικότητα	θέση	σειρά	εκπαίδευση	ενδιαφέρον	καθολικός	ηρεμία
ικανότητα	πατέρας	κανονες	ικανοποίηση	θέση	σταθερός	εκπαιδευτικός	ενδιαφέρων	καταγωγή	θυσία
καλύτερος	πιστός	κανονισμοί	ικανοποίηση	ιδιοκτησία	σταθερότητα	ελευθερία	ενεργειακή	καταραμένος	ισοζύγιο
κατάλληλος	στοργή	κανονισμός λειτουργίας	ικανοποιώντας	ισχυρός	συναγερμός	ελεύθερος	ενέργειες	κήρυγμα	ισότητα
κατάρτιση	στοργικός	κατάλληλο	καλή διασκέδαση	ισχύς	συνέπειες	έμαθα	ενέργειες	κηρύγματα	καλώς ήρθατε
καταφέρνοντας	συγχώρεση	κατάλληλος	κωμωδία	καθεστώς	συνετός	έμαθα	ενεργητικός	κληρονομία	καλώς ήρθατε
κατόρθωσαν	συγχωρώ	κατασκευή	λαγνεία	καταδίωξη	σωτηρία	έμμονη ιδέα	ένθερμος	λαογραφία	καταλαβαίνουν
κέρδισε	συμβουλή	κρίμα	λάμπω	κατάκτηση	τακτοποιημένος	εμμόνως	ενθουσιασμός	λαογραφία	κατανόηση
κομψότητα	συμμαχία	κύρια σημεία της γνωμοδότησης	λαχτάρα	κατακτώ	τακτοποίηση	έμπνευση	ενθουσιώδης	λατρεία	κεφάλαιο
κορυφή	σύμμαχος	κυρίαρχη τάση	νόστιμο	κατακυριεύω	ταλαιπωρία	εμπνευσμένη	ένταση	μεγαλειότητα	κλίμα
μεγαλύτερη	συμμετοχή	κώδικας	νοστιμότατο	κατάσταση	τρομάζω	εμπνευσμένο	εντατική	μουσουλμάνος	κοινότητα
μυαλά	συμπάθεια	κωδικός	ξεκαρδιστικός	κέρδη	υγεία	εμπνευσμένος	εντατικός	μύθος	κοινότητες
νίκη	συμπαράσταση	λόγος	οργασμός	κέρδος	υπερασπίζω	ενατένιση	εξερεύνηση	μύθος	κοινωνία
νίκησα	συμπονετικός	με τον κατάλληλο τρόπο	όρεξη	κερδοφόρες	υπεράσπιση	ενδιαφέρον	εξερευνητής	μυστικιστής	κοινωνικός
ολοκληρώσει	συμπόνια	μετριόφρον	παίζω	κεφάλαιο	υπολογισμός	ενέργειες	επαναστάτης	μωάμεθ	λεπτότητα
ολοκλήρωση	συναίσθημα	μετριοφροσύνη	παίξτε	κυριαρχία	υποχώρηση	ενεργώ	επαναστατικός	να’ σαι καλά	μερίδιο
πάνω από	συνεισφορά	μετριοφροσύνη	παιχνίδια	κυρίαρχο	φοβάμαι	ενήργησε	ευκαιρία	οι χριστιανοι	ομοιότητα
παραγωγική ικανότητα	συντροφιά	μετρούν	παιχνιδιάρικα	με επιρροή	φοβισμένος	ενόραση	ευκαιρία	ορθόδοξος	όμορφη
παραγωγικός	συντροφικότητα	να αποφεύγετε	παιχνιδιάρικος	με τίτλο	φόβος	ένστικτο	ευκαιρίες	ουράνιος	ομορφιά
περήφανος	σύντροφοι	νηστεία	παρηγοριά	μετρητά	φραγμός	ενστικτωδώς	εφευρέσεις	ουράνιος	ομορφιά
πλεονέκτημα	σχέση	νομικός	πάρτυ	μισθοί	φρουρά	εξεγέρσεις	εφευρέσεις	ουρανός	παγκόσμιος
ποιότητα	τίμιος	νομιμοποίηση	πειρασμός	μισθός	φρουρός	εξέλιξη	εφεύρεση	παντοδύναμος	παγκοσμιότητα
προαγωγή	τρυφερότητα	νομίμως	πειρασμός	μονοπώλιο	φυλασσόμενοι	εξελίσσεται	ζωτικότητα	παντοδύναμος	πανέμορφος
πρόοδος	υπεύθυνος	νομοθεσίες	πιο ευτυχισμένοι	μπόνους		έξυπνος	θαρραλέα	παντρεμένος	περιβάλλον
πρόοδος	υπευθυνότητα	νόμος	πιο ευτυχισμένος	νίκη		έξυπνος	θάρρος	παππάς	περίπλοκο
πρόοδος	υποβοηθητικό	νόμων	σέξι	οδηγώ		επανάσταση	θέρμη	παραδόσεις	πνευματικός
προωθείται	υποστηρικτικός	ντροπαλότητα	σεξουαλικά	οργανισμός		επί της διαφωνίας	θράσος	παράδοση	ποικιλία
προώθηση	υποστήριξη	ντροπή	σεξουαλικά	ορθοστασία		επίγνωση	ιδιοσυγκρασία	παράδοση	ποικιλομορφία
πρωταθλητής	φιλία	οδηγία	σεξουαλικότητα	πάλη		επιλέγω	καινοτόµα	παραδοσιακά	ποικίλος
πρωταθλήτρια	φιλία	οδηγίες	σέξυ	πανίσχυρος		επιλογή	καινοτομία	παραδοσιακός	πολιτισμός
σκάφος	φιλικός	οι συμβάσεις	φετίχ	περιουσιακά στοιχεία		επίμαχο θέμα	καινοτόμος	παρεκκλήσι	που σημαίνει
τελειότητα	φίλοι	οικείος	φλερτ	πιο αδύναμος		επιστήμη	κίνδυνοι	πίστη	πραγµατικότητα
τελειότητα	φίλοι	ομοιότητα	φύλο	πλατινένιος		επιστήμη	κίνδυνος	πίστις	πραγματοποίηση
τιμές	φιλοξενία	οντότητα	χαλαρώνω	πλεόνασµα		ευαίσθητο	κίνηση	πιστοί	προστασία
υπερήφανος	φίλος	οργάνωση	χαλάρωση	πλεονεκτική θέση		ευφυής	κίνητρο	πρόγονοι	προστατεύει
χαλαρά	φίλος	παραβιάζω	χαλαρώστε	πλούσιος		ευφυία	κυκλοφορία		προστατευμένο
χωρητικότητα	φροντίδα	παραβίασε	χαρά	πλουσιότατος		εφευρετικότητα	με έχουν προκαλέσει	προέλευση	προστατεύω
	χρειάζομαι	παραίτηση	χαρά	πλούτος		ηθοποιία	με πάθος	πρόνοια	σκληρός
	χρήσιμος	παραχώρηση	χαρές	πλούτος		θέληση	μοναδικός	πρόνοια	σοφία
		πειθαρχία	χαρούμενος	πολυτέλεια		ιδέα	μου προκαλεί έκπληξη	προσευχή	σοφία
		περιοδική	χιούμορ	πόροι		ιδιαίτερες	μυθιστόρημα	προσεύχομαι	σοφός
		περιορισμένος	ψυχαγωγία	πρακτορείο		ικανότητα	μυστηριώδες	προτεστάντης	συγκρότημα
		περιορισμοί		προνόμιο		καλλιτεχνικό έργο	μυστηριώδης	προτεσταντικός	συμβιβασμός
		περιοριστικά μέτρα		προνομιούχος		καλλιτεχνικός	νέα	προφήτης	συμβούλιο
		περιοριστικός		σπονδυλική στήλη		καταδίκη	νεότερα	προφήτης	συμφωνία
		ποινές		συμμετοχη		κατεύθυνση	νεότερο	συγγενείς	συνασπισμός
		πολιτικές		τα ενδιαφέροντα		κερδοσκοπία	νεωτερισμός	συνείδηση	σύνδεση
		πολιτική		ταπείνωση		κλίση	οδήγα	συνήθεια	συνεργασία
		πρέπει		υπεροχή		κόβω	οδηγώ	συνήθειες	συνεργασία
		πρέπει να		φαντασία		κολλέγιο	ομάδα	συνήθειες	συνεργατική
		πρότυπα		χειραγώγηση		κρίσιμης σημασίας	παθιασμένος	σωτήρας	σύντηξη
		ρουτίνα		χειρισμός		λαμπρότητα	πάθος	τελετές	συντονισμένη
		σε συνήθεις περιπτώσεις		χρήματα		λεπτομερής έλεγχος	πάθος	τελετή	συντονισμός
		σεβασμός		χρησιμότητα		λογική	πάλη	τελετουργία	τακτ
		σεβαστός				λογικός	παρανοϊκός	τζαμί	φιλανθρωπία
		σερβίρεται				λόγιος	παράτυπα	τιμώντας	φιλάνθρωπος
		συγκατάθεση				μαθαίνοντας	παροξυσμός	υπηρέτησα	φιλελεύθερος
		συγκράτηση				μαθήματα	παρόρμηση	φατρία	φύση
		συμβάσεις				μάθηση	πείραμα	φυλή	φυσικός
		σύμβαση				ματαιοδοξία	περιέργεια		χαριτωμένη
		συμβατικά				με το σκεπτικό	περιπέτεια	χριστιανισμός	χαριτωμένος
		συμβατικός				μελαγχολία	περιπέτειες	χριστιανοί	
		συμμορφώνομαι				νοημοσύνη	ποικιλία	χριστιανοσύνη	
		συμμόρφωση				νομίζει	προκλήσεις	χριστός	
		συμφωνία				νομίζω	προκλητική	χριστός	
		σύμφωνο				οι προσπάθειες που καταβάλλονται	προοδευτικός	ψυχή	
		συναίνεση				όραμα	προσπαθεί	ψυχή	
		συνδυασµός				ορμώ	προσπάθεια		
		συντήρηση				παρατήρηση	προσπάθειες		
		συντήρηση				πεποιθήσεις	πρωτοφανής		
		συντηρητικός				περίεργος	ρήγμα		
		σύστημα				περισυλλογή	ριζικά		
		συστολή				περιφρόνηση	ριζικό		
		τακτικά				πνεύμα	σοκ		
		ταπεινός				πράξεις	σοκαρισμένη		
		ταπεινότητα				πρόθεση	σοκαρισμένος		
		ταπεινοφροσύνη				πρόοδος	σου κόβει την ανάσα		
		ταυτότητα				προσδιορίζεται	σπουδή		
		τιμωρία				προσδιορισµένος	συγκίνηση		
		υπακοή				προσδιορισμός	συναρπαστικός		
		υπακούω				προσεκτικός	ταραχή		
		υπομονή				προσεκτικός	τζόγος		
		υποχρεωμένος				προσπάθεια	τόλμη		
		υφιστάμενος				προσπάθεια	τολμώ		
		ψυχραιμία				προσπάθειες	υστερία		
						πρωτοβουλία	φασαρία		
						πρωτότυπο			
						πρωτότυπο			
						ραχοκοκαλιά			
						σκεπτικισμός			
						σκεπτόμενος			
						σκέφτεται			
						σκέψεις			
						σκέψου			
						σκοπεύει			
						σκοπός			
						σοβαρότητα			
						σπονδυλική στήλη			
						στόχος			
						στόχους			
						σφυγμομετρία			
						σχέδιο			
						σχέσεις			
						ταλέντα			
						ταλέντο			
						τόκοι			
						τόλμημα			
						υποκρίνομαι			
						φαντασία			
						φαντασία			
						φιλοσοφία			
						φιλοσοφία			
						χαλίκι			
						χιούμορ			
						χόμπι			
						ώριμος			
